onet_major_x,onet_major_y,source,target,value
29,13,Healthcare Practitioners and Technical,Business and Financial Operations,361
29,15,Healthcare Practitioners and Technical,Computer and Mathematical,159
29,17,Healthcare Practitioners and Technical,Architecture and Engineering,38
29,19,Healthcare Practitioners and Technical,"Life, Physical, and Social Science",253
29,21,Healthcare Practitioners and Technical,Community and Social Service,147
29,23,Healthcare Practitioners and Technical,Legal,33
29,25,Healthcare Practitioners and Technical,Educational Instruction and Library,250
29,27,Healthcare Practitioners and Technical,"Arts, Design, Entertainment, Sports, and Media",66
29,29,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,7139
29,31,Healthcare Practitioners and Technical,Healthcare Support,38
29,33,Healthcare Practitioners and Technical,Protective Service,23
29,35,Healthcare Practitioners and Technical,Food Preparation and Serving Related,20
29,37,Healthcare Practitioners and Technical,Building and Grounds Cleaning and Maintenance,4
29,39,Healthcare Practitioners and Technical,Personal Care and Service,34
29,41,Healthcare Practitioners and Technical,Sales and Related,222
29,43,Healthcare Practitioners and Technical,Office and Administrative Support,196
29,45,Healthcare Practitioners and Technical,"Farming, Fishing, and Forestry",1
29,47,Healthcare Practitioners and Technical,Construction and Extraction,4
29,49,Healthcare Practitioners and Technical,"Installation, Maintenance, and Repair",5
29,51,Healthcare Practitioners and Technical,Production,20
29,53,Healthcare Practitioners and Technical,Transportation and Material Moving,9
31,11,Healthcare Support,Management,175
31,13,Healthcare Support,Business and Financial Operations,79
31,15,Healthcare Support,Computer and Mathematical,20
31,17,Healthcare Support,Architecture and Engineering,13
31,19,Healthcare Support,"Life, Physical, and Social Science",37
31,21,Healthcare Support,Community and Social Service,103
31,23,Healthcare Support,Legal,5
31,25,Healthcare Support,Educational Instruction and Library,38
31,27,Healthcare Support,"Arts, Design, Entertainment, Sports, and Media",21
31,29,Healthcare Support,Healthcare Practitioners and Technical,405
31,31,Healthcare Support,Healthcare Support,212
31,33,Healthcare Support,Protective Service,4
31,35,Healthcare Support,Food Preparation and Serving Related,10
31,39,Healthcare Support,Personal Care and Service,23
31,41,Healthcare Support,Sales and Related,46
31,43,Healthcare Support,Office and Administrative Support,60
31,45,Healthcare Support,"Farming, Fishing, and Forestry",2
31,47,Healthcare Support,Construction and Extraction,1
31,49,Healthcare Support,"Installation, Maintenance, and Repair",2
31,51,Healthcare Support,Production,5
31,53,Healthcare Support,Transportation and Material Moving,5
33,11,Protective Service,Management,198
33,13,Protective Service,Business and Financial Operations,123
33,15,Protective Service,Computer and Mathematical,72
33,17,Protective Service,Architecture and Engineering,19
33,19,Protective Service,"Life, Physical, and Social Science",24
33,21,Protective Service,Community and Social Service,41
33,23,Protective Service,Legal,20
33,25,Protective Service,Educational Instruction and Library,23
33,27,Protective Service,"Arts, Design, Entertainment, Sports, and Media",26
33,29,Protective Service,Healthcare Practitioners and Technical,15
33,31,Protective Service,Healthcare Support,8
33,33,Protective Service,Protective Service,655
33,35,Protective Service,Food Preparation and Serving Related,9
33,37,Protective Service,Building and Grounds Cleaning and Maintenance,2
33,39,Protective Service,Personal Care and Service,6
33,41,Protective Service,Sales and Related,60
33,43,Protective Service,Office and Administrative Support,68
33,47,Protective Service,Construction and Extraction,3
33,49,Protective Service,"Installation, Maintenance, and Repair",5
33,51,Protective Service,Production,12
33,53,Protective Service,Transportation and Material Moving,15
35,11,Food Preparation and Serving Related,Management,503
35,13,Food Preparation and Serving Related,Business and Financial Operations,209
35,15,Food Preparation and Serving Related,Computer and Mathematical,82
35,17,Food Preparation and Serving Related,Architecture and Engineering,32
35,19,Food Preparation and Serving Related,"Life, Physical, and Social Science",37
35,21,Food Preparation and Serving Related,Community and Social Service,46
35,23,Food Preparation and Serving Related,Legal,44
35,25,Food Preparation and Serving Related,Educational Instruction and Library,113
35,27,Food Preparation and Serving Related,"Arts, Design, Entertainment, Sports, and Media",75
35,29,Food Preparation and Serving Related,Healthcare Practitioners and Technical,65
35,31,Food Preparation and Serving Related,Healthcare Support,10
35,33,Food Preparation and Serving Related,Protective Service,8
35,35,Food Preparation and Serving Related,Food Preparation and Serving Related,515
35,37,Food Preparation and Serving Related,Building and Grounds Cleaning and Maintenance,5
35,39,Food Preparation and Serving Related,Personal Care and Service,29
35,41,Food Preparation and Serving Related,Sales and Related,197
35,43,Food Preparation and Serving Related,Office and Administrative Support,218
35,45,Food Preparation and Serving Related,"Farming, Fishing, and Forestry",5
35,47,Food Preparation and Serving Related,Construction and Extraction,5
35,49,Food Preparation and Serving Related,"Installation, Maintenance, and Repair",8
35,51,Food Preparation and Serving Related,Production,24
35,53,Food Preparation and Serving Related,Transportation and Material Moving,19
37,11,Building and Grounds Cleaning and Maintenance,Management,66
37,13,Building and Grounds Cleaning and Maintenance,Business and Financial Operations,21
37,15,Building and Grounds Cleaning and Maintenance,Computer and Mathematical,9
37,17,Building and Grounds Cleaning and Maintenance,Architecture and Engineering,11
